PostalCode,Borough,Neighborhood,Latitude,Longitude
M5S,Downtown Toronto,"University of Toronto, Harbord",-79.40179999999998,43.663110000000074
M6S,West Toronto,"Runnymede, Swansea",-79.47547999999995,43.649820000000034
M1T,Scarborough,"Clarks Corners, Tam O'Shanter, Sullivan",-79.29721999999998,43.784910000000025
M4T,Central Toronto,"Moore Park, Summerhill East",-79.38317999999998,43.690480000000036
M5T,Downtown Toronto,"Kensington Market, Chinatown, Grange Park",-79.39721999999995,43.65351000000004
M1V,Scarborough,"Milliken, Agincourt North, Steeles East, L'Amoreaux East",-79.28043999999994,43.817810000000065
M4V,Central Toronto,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",-79.40236999999996,43.68568000000005
M5V,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",-79.39817999999997,43.640820000000076
M8V,Etobicoke,"New Toronto, Mimico South, Humber Bay Shores",-79.49808999999993,43.60987000000006
M9V,Etobicoke,"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens",-79.58623999999998,43.744530000000054
M1W,Scarborough,"Steeles West, L'Amoreaux West",-79.32161999999994,43.80079000000006
M4W,Downtown Toronto,Rosedale,-79.37828999999994,43.68190000000004
M5W,Downtown Toronto,Stn A PO Boxes,-79.38543999999996,43.648690000000045
M8W,Etobicoke,"Alderwood, Long Branch",-79.53878999999995,43.601240000000075
M9W,Etobicoke,"Northwest, West Humber - Clairville",-79.57940999999994,43.71174000000008
M1X,Scarborough,Upper Rouge,-79.21667999999994,43.83412000000004
M4X,Downtown Toronto,"St. James Town, Cabbagetown",-79.36648999999994,43.667880000000025
M5X,Downtown Toronto,"First Canadian Place, Underground city",-79.38145999999995,43.64828000000006
M8X,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North",-79.51112999999998,43.65319000000005
M4Y,Downtown Toronto,Church and Wellesley,-79.38132999999993,43.66659000000004
M7Y,East Toronto,"Business reply mail Processing Centre, South Central Letter Processing Plant Toronto",-79.38543999999996,43.648690000000045
M8Y,Etobicoke,"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East",-79.48944999999998,43.632780000000025
M8Z,Etobicoke,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West",-79.52680999999995,43.62513000000007
